Entity,Code,Year,Population - Sex: all - Age: all - Variant: medium,Population - Sex: all - Age: all - Variant: medium
Africa (UN),,2089,3724740400,3629227524
Africa (UN),,2090,3746056400,3649045632
Africa (UN),,2091,3766731800,3668203740
Africa (UN),,2092,3786782000,3686701892
Africa (UN),,2093,3806216400,3704607599
Africa (UN),,2094,3825036800,3721931325
Africa (UN),,2095,3843213000,3738661357
Africa (UN),,2096,3860724000,3754852625
Africa (UN),,2097,3877576400,3770482434
Africa (UN),,2098,3893797600,3785518305
Africa (UN),,2099,3909421300,3799971495
Africa (UN),,2100,3924420600,3813883618
Albania,ALB,2022,2842318,
Albania,ALB,2023,2832443,
Albania,ALB,2024,2826020,2791757
Albania,ALB,2025,2821632,2771506
Albania,ALB,2026,2816700,2751025
Albania,ALB,2027,2811110,2731220
Albania,ALB,2028,2804767,2711664
Albania,ALB,2029,2797604,2691909
Albania,ALB,2030,2789603,2671882
Albania,ALB,2031,2780752,2651880
Albania,ALB,2032,2770958,2632164
Albania,ALB,2033,2760245,2612053
Albania,ALB,2034,2748604,2591311
Albania,ALB,2035,2736082,2570585
Albania,ALB,2036,2722649,2549689
Albania,ALB,2037,2708323,2528235
Albania,ALB,2038,2693126,2506595
Albania,ALB,2039,2677088,2484368
Albania,ALB,2040,2660260,2461865
Albania,ALB,2041,2642680,2439527
Albania,ALB,2042,2624356,2417265
Albania,ALB,2043,2605326,2395167
Albania,ALB,2044,2585685,2373263
Albania,ALB,2045,2565422,2351282
Albania,ALB,2046,2544582,2328947
Albania,ALB,2047,2523229,2306872
Albania,ALB,2048,2501419,2284844
Albania,ALB,2049,2479151,2262551
Albania,ALB,2050,2456473,2240170
Albania,ALB,2051,2433452,2218016
Albania,ALB,2052,2410100,2195839
Albania,ALB,2053,2386458,2173328
Albania,ALB,2054,2362620,2150770
Albania,ALB,2055,2338672,2128295
Albania,ALB,2056,2314635,2106077
Albania,ALB,2057,2290463,2083968
Albania,ALB,2058,2266230,2061948
Albania,ALB,2059,2241969,2039983
Albania,ALB,2060,2217673,2018000
Albania,ALB,2061,2193327,1996203
Albania,ALB,2062,2168944,1974548
Albania,ALB,2063,2144506,1952812
Albania,ALB,2064,2120002,1931104
Albania,ALB,2065,2095348,1909490
Albania,ALB,2066,2070485,1888153
Albania,ALB,2067,2045424,1866856
Albania,ALB,2068,2020145,1845406
Albania,ALB,2069,1994582,1824103
Albania,ALB,2070,1968688,1802823
Albania,ALB,2071,1942410,1781410
Albania,ALB,2072,1915728,1759876
Albania,ALB,2073,1888648,1738323
Albania,ALB,2074,1861203,1716477
Albania,ALB,2075,1833352,1694384
Albania,ALB,2076,1805103,1672509
Albania,ALB,2077,1776446,1650551
Albania,ALB,2078,1747376,1628469
Albania,ALB,2079,1717914,1606480
Albania,ALB,2080,1688106,1584306
Albania,ALB,2081,1657951,1561892
Albania,ALB,2082,1627495,1539382
Albania,ALB,2083,1596833,1516785
Albania,ALB,2084,1566003,1494291
Albania,ALB,2085,1535080,1471972
Albania,ALB,2086,1504139,1449871
Albania,ALB,2087,1473238,1428113
Albania,ALB,2088,1442421,1406583
Albania,ALB,2089,1411767,1385273
Albania,ALB,2090,1381311,1364423
Albania,ALB,2091,1351100,1344060
Albania,ALB,2092,1321198,1324193
Albania,ALB,2093,1291704,1304881
Albania,ALB,2094,1262635,1286144
Albania,ALB,2095,1233972,1268011
Albania,ALB,2096,1205780,1250428
Albania,ALB,2097,1178012,1233361
Albania,ALB,2098,1150654,1216783
Albania,ALB,2099,1123710,1200682
Albania,ALB,2100,1097163,1184999
Algeria,DZA,2022,44903228,
Algeria,DZA,2023,45606480,
Algeria,DZA,2024,46278748,46814301
Algeria,DZA,2025,46922030,47435309
Algeria,DZA,2026,47538084,48028337
Algeria,DZA,2027,48130012,48593413
Algeria,DZA,2028,48700240,49135525
Algeria,DZA,2029,49251256,49655380
Algeria,DZA,2030,49787290,50154160
Algeria,DZA,2031,50311556,50637363
Algeria,DZA,2032,50826984,51113499
Algeria,DZA,2033,51336844,51584243
Algeria,DZA,2034,51845004,52048003
Algeria,DZA,2035,52352524,52516788
Algeria,DZA,2036,52860870,52986271
Algeria,DZA,2037,53371370,53452782
Algeria,DZA,2038,53883772,53921841
Algeria,DZA,2039,54398760,54396257
Algeria,DZA,2040,54917436,54873475
Algeria,DZA,2041,55440660,55351991
Algeria,DZA,2042,55965064,55834547
Algeria,DZA,2043,56488988,56319599
Algeria,DZA,2044,57012290,56806178
Algeria,DZA,2045,57533656,57290155
Algeria,DZA,2046,58050500,57767673
Algeria,DZA,2047,58559200,58234176
Algeria,DZA,2048,59055404,58690886
Algeria,DZA,2049,59535716,59136157
Algeria,DZA,2050,60001120,59565551
Algeria,DZA,2051,60448556,59975605
Algeria,DZA,2052,60876332,60357130
Algeria,DZA,2053,61284220,60714898
Algeria,DZA,2054,61669732,61054227
Algeria,DZA,2055,62034900,61368722
Algeria,DZA,2056,62380468,61662096
Algeria,DZA,2057,62705250,61929853
Algeria,DZA,2058,63008270,62171436
Algeria,DZA,2059,63290068,62392706
Algeria,DZA,2060,63553710,62589964
Algeria,DZA,2061,63800404,62763871
Algeria,DZA,2062,64030748,62925691
Algeria,DZA,2063,64246480,63074908
Algeria,DZA,2064,64450330,63211555
Algeria,DZA,2065,64644692,63340462
Algeria,DZA,2066,64829900,63457816
Algeria,DZA,2067,65007148,63567478
Algeria,DZA,2068,65177496,63671453
Algeria,DZA,2069,65342356,63770660
Algeria,DZA,2070,65502940,63858956
Algeria,DZA,2071,65658480,63949915
Algeria,DZA,2072,65809576,64051596
Algeria,DZA,2073,65956720,64149758
Algeria,DZA,2074,66101236,64245957
Algeria,DZA,2075,66243450,64342157
Algeria,DZA,2076,66382804,64431151
Algeria,DZA,2077,66518856,64514918
Algeria,DZA,2078,66651780,64597245
Algeria,DZA,2079,66781856,64675917
Algeria,DZA,2080,66906224,64750723
Algeria,DZA,2081,67023736,64815560
Algeria,DZA,2082,67135330,64870707
Algeria,DZA,2083,67241750,64921809
Algeria,DZA,2084,67343750,64969833
Algeria,DZA,2085,67438770,65014715
Algeria,DZA,2086,67524820,65055633
Algeria,DZA,2087,67604430,65087125
Algeria,DZA,2088,67677176,65107981
Algeria,DZA,2089,67741200,65115449
